country_name,iso_alpha3
Afghanistan,AFG
Argentina,ARG
Australia,AUS
Austria,AUT
Belgium,BEL
Bosnia and Herzegovina,BIH
Brazil,BRA
Canada,CAN
China,CHN
Colombia,COL
Cuba,CUB
Czech Republic,CZE
Denmark,DNK
Dominican Republic,DOM
Finland,FIN
France,FRA
Georgia,GEO
Germany,DEU
Hong Kong,HKG
Hungary,HUN
India,IND
Iran,IRN
Ireland,IRL
Israel,ISR
Italy,ITA
Ivory Coast,CIV
Japan,JPN
Latvia,LVA
Mexico,MEX
Mongolia,MNG
Netherlands,NLD
New Zealand,NZL
Nigeria,NGA
Norway,NOR
Pakistan,PAK
Peru,PER
Philippines,PHL
Poland,POL
Republic of Congo,COG
Russia,RUS
South Africa,ZAF
South Korea,KOR
Spain,ESP
Sweden,SWE
Switzerland,CHE
Taiwan,TWN
Thailand,THA
Tunisia,TUN
United Kingdom,GBR
United States,USA
Uruguay,URY
Vietnam,VNM
